TimeStamp,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,Zone
20:09:45,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:09:46,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,-84,0,0,C_3
20:09:47,0,0,0,-92,0,-60,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:09:53,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:09:54,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:09:55,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:09:56,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:10:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,0,0,C_3
20:10:04,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:10:05,0,0,0,-92,0,-75,0,0,0,0,0,0,0,0,0,-88,0,0,C_3
20:10:06,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:10:07,0,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:10:08,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:10:12,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:10:13,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:10:15,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:10:16,0,0,0,0,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:10:19,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,-86,0,0,C_3
20:10:21,0,0,0,0,0,0,-91,0,0,0,0,0,0,0,0,-83,0,0,C_3
20:10:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,C_3
20:10:23,0,0,0,-86,0,-69,-91,0,0,0,0,0,0,0,0,0,0,0,C_3
20:10:24,0,0,0,0,-69,-66,0,0,0,0,0,0,0,0,0,-81,0,0,C_3
20:10:27,0,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:10:29,0,0,0,0,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:10:33,0,0,0,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:10:34,0,0,0,0,-66,0,0,0,0,0,0,0,0,0,0,0,-94,0,C_3
20:10:36,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:10:37,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:10:43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82,0,0,C_3
20:10:44,0,0,0,0,0,-67,0,0,0,0,0,0,0,0,0,-81,0,0,C_3
20:10:45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-90,0,0,C_3
20:10:46,0,0,0,-86,0,-66,0,0,0,0,0,0,0,0,0,-78,0,0,C_3
20:10:48,0,0,0,0,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:10:53,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:10:55,0,0,0,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:10:56,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:11:03,0,0,0,-91,0,0,0,0,0,0,0,0,0,0,0,-81,0,0,C_3
20:11:04,0,0,0,0,0,-70,0,0,0,0,0,0,0,0,0,-77,0,0,C_3
20:11:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0,C_3
20:11:07,0,0,0,0,0,-66,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:11:08,0,0,0,-90,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:11:14,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:11:15,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:11:16,0,0,0,0,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:11:17,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:11:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,C_3
20:11:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-89,0,0,C_3
20:11:23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,C_3
20:11:24,0,0,0,0,0,-65,0,0,0,0,0,0,0,0,0,-85,0,0,C_3
20:11:25,0,0,0,-92,0,-78,0,0,0,0,0,0,0,0,0,-80,0,0,C_3
20:11:26,0,0,0,0,0,-70,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:11:27,0,0,0,0,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:11:28,0,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:11:35,0,0,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:11:36,0,0,0,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:11:37,0,0,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:11:38,0,0,0,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:11:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,C_3
20:11:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,C_3
20:11:43,0,0,0,-84,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,C_3
20:11:44,0,0,0,-92,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,C_3
20:11:45,0,0,0,-86,0,-67,0,0,0,0,0,0,0,0,0,-79,0,0,C_3
20:11:46,0,0,0,0,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:11:47,0,0,0,-93,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:11:49,0,0,0,0,-85,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:11:53,0,0,0,0,-89,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:11:54,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:11:56,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:11:57,0,0,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:12:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-78,0,0,C_3
20:12:02,0,0,0,-97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:12:04,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:12:05,0,0,0,0,0,-66,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:12:06,0,0,0,0,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:12:07,0,0,0,-92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:12:13,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:12:14,0,0,0,0,-81,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:12:15,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,-92,0,0,0,C_3
20:12:16,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:12:17,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:12:18,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:12:21,0,0,0,0,0,0,-92,0,0,0,0,0,0,0,0,0,0,0,C_3
20:12:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-85,0,0,C_3
20:12:23,0,0,0,-92,0,0,0,0,0,0,0,0,0,0,0,-84,0,0,C_3
20:12:24,0,0,0,-92,0,-60,0,0,0,0,0,0,0,0,0,-85,0,0,C_3
20:12:25,0,0,0,0,0,-70,0,0,0,0,0,0,0,0,0,-82,0,0,C_3
20:12:26,0,0,0,0,0,-67,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:12:27,0,0,0,-80,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:12:28,0,0,0,0,0,-65,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:12:33,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,-86,0,0,0,C_3
20:12:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,C_3
20:12:35,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:12:36,0,0,0,0,-72,0,0,0,0,0,0,0,0,0,-94,0,0,0,C_3
20:12:37,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:12:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80,0,0,C_3
20:12:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,C_3
20:12:43,0,0,0,-86,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,C_3
20:12:45,0,0,0,-87,0,-62,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:12:46,0,0,0,-83,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:12:47,0,0,0,0,0,-64,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:12:48,0,0,0,0,0,-58,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:12:55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-88,0,0,0,C_3
20:12:56,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:12:57,0,0,0,0,0,0,0,-93,0,0,0,0,0,0,0,0,0,0,C_3
20:12:58,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:12:59,0,0,0,0,0,0,0,-91,0,0,0,0,0,0,0,0,0,0,C_3
20:13:01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-77,0,0,C_3
20:13:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-73,0,0,C_3
20:13:04,0,0,0,0,0,0,-88,0,0,0,0,0,0,0,0,-83,0,0,C_3
20:13:06,0,0,0,0,0,-58,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:13:07,0,0,0,0,0,-57,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:13:08,0,0,0,0,0,-56,0,0,0,0,0,-94,0,0,0,0,0,0,C_3
20:13:09,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:13:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-79,0,0,0,C_3
20:13:13,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,-81,0,0,0,C_3
20:13:14,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,-90,0,0,0,C_3
20:13:15,0,0,0,0,-90,0,0,0,0,0,0,0,0,0,-78,0,0,0,C_3
20:13:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0,0,C_3
20:13:19,0,0,0,0,0,0,0,-90,-90,0,0,0,0,0,0,0,0,0,C_3
20:13:20,0,0,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,C_3
20:13:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-69,0,0,C_3
20:13:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-67,0,0,C_3
20:13:23,0,0,0,-81,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,C_3
20:13:24,0,0,0,-85,0,0,-81,0,0,0,0,0,0,0,0,-72,0,0,C_3
20:13:25,0,0,0,-87,0,-71,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:13:26,0,0,0,-82,0,-68,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:13:27,0,0,0,-85,0,-67,0,0,0,0,0,-92,0,0,0,0,0,0,C_3
20:13:28,0,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:13:29,0,0,0,0,0,-63,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:13:30,0,0,0,0,0,0,0,0,0,0,0,-93,0,0,0,0,0,0,C_3
20:13:34,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:13:35,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,-90,0,0,0,C_3
20:13:37,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:13:38,0,0,0,0,0,0,0,-91,0,0,0,0,0,0,0,0,0,0,C_3
20:13:39,0,0,0,0,0,0,0,-85,-90,0,0,0,0,0,0,0,0,0,C_3
20:13:41,0,0,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,0,0,C_3
20:13:42,0,0,0,-81,0,0,-73,0,-92,0,0,0,0,0,0,-63,0,0,C_3
20:13:43,0,0,0,-77,0,0,0,0,-87,0,0,0,0,0,0,0,0,0,C_3
20:13:44,0,0,0,-88,0,0,-72,0,-86,0,0,0,0,0,0,-68,0,0,C_3
20:13:45,0,0,0,-84,0,-71,-74,0,0,0,0,-80,0,0,0,-80,0,0,C_3
20:13:47,0,0,0,-97,0,0,0,0,0,0,0,-87,0,0,0,0,0,0,C_3
20:13:48,0,0,0,0,0,0,0,0,0,0,0,-87,0,0,0,0,0,0,C_3
20:13:49,0,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:13:53,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:13:54,0,0,0,0,-78,0,0,0,0,0,0,0,0,0,-81,0,0,0,C_3
20:13:55,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:13:56,0,0,0,0,-78,0,0,-79,0,0,0,0,0,0,-72,0,0,0,C_3
20:13:57,0,0,0,0,-77,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:13:58,0,0,0,0,0,0,0,-90,0,0,0,0,0,0,0,0,0,0,C_3
20:13:59,0,0,0,0,0,0,0,-79,-83,0,0,0,0,0,0,0,0,0,C_3
20:14:01,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,-69,0,0,C_3
20:14:02,0,0,0,-89,0,0,0,0,-80,0,0,0,0,0,0,0,0,0,C_3
20:14:03,0,0,0,0,0,0,-83,0,0,0,0,0,0,0,0,0,0,0,C_3
20:14:04,0,0,0,0,0,-89,-83,0,-86,0,0,0,0,0,0,-68,0,0,C_3
20:14:05,0,0,0,-85,0,0,0,0,0,0,0,-93,0,0,0,0,0,0,C_3
20:14:06,0,0,0,0,0,-66,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:14:08,0,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:14:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-84,0,0,0,C_3
20:14:13,0,0,0,0,-86,0,0,0,0,0,0,0,0,0,-86,0,0,0,C_3
20:14:14,0,0,0,0,-73,0,0,0,0,0,0,0,0,0,-94,0,0,0,C_3
20:14:15,0,0,0,0,-74,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:14:16,0,0,0,0,-76,0,0,0,0,0,0,0,0,0,-85,0,0,0,C_3
20:14:22,0,0,0,-88,0,0,0,0,0,0,0,0,0,0,0,-88,0,0,C_3
20:14:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81,0,0,C_3
20:14:25,0,0,0,-87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:14:26,0,0,0,-90,0,-72,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:14:27,0,0,0,0,0,-69,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:14:28,0,0,0,0,0,-64,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:14:32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-94,0,0,0,C_3
20:14:33,0,0,0,0,-79,0,0,0,0,0,0,0,0,0,0,0,0,0,C_3
20:14:34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-86,0,0,0,C_3
20:14:35,0,0,0,0,0,0,0,-78,0,0,0,0,0,0,-77,0,0,0,C_3
20:14:36,0,0,0,0,0,0,0,-86,0,0,0,0,0,0,0,0,0,0,C_3
